running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016907.0003
Pilot Information
[None, u'Launching', 8.7030508518219]
['pilot.0000', u'Launching', 8.713245868682861]
['pilot.0000', u'PendingActive', 27.728271007537842]
['pilot.0000', u'Active', 279.26771092414856]


Unit Information
['unit.000058', u'pilot.0000', u'AgentStagingInputPending', 72.3737678527832]
['unit.000183', u'pilot.0000', u'AgentStagingInputPending', 72.37384295463562]
['unit.000060', u'pilot.0000', u'PendingInputStaging', 72.37395405769348]
['unit.000243', u'pilot.0000', u'PendingInputStaging', 72.37419199943542]
['unit.000228', u'pilot.0000', u'AgentStagingInputPending', 72.37425303459167]
['unit.000076', u'pilot.0000', u'PendingInputStaging', 72.37433004379272]
['unit.000075', u'pilot.0000', u'AgentStagingInputPending', 72.3743748664856]
['unit.000118', u'pilot.0000', u'AgentStagingInputPending', 76.14382100105286]
['unit.000087', u'pilot.0000', u'AgentStagingInputPending', 76.14393901824951]
['unit.000063', u'pilot.0000', u'AgentStagingInputPending', 76.14418888092041]
['unit.000065', u'pilot.0000', u'AgentStagingInputPending', 76.14424705505371]
['unit.000064', u'pilot.0000', u'AgentStagingInputPending', 76.1442768573761]
['unit.000155', u'pilot.0000', u'AgentStagingInputPending', 76.14443898200989]
['unit.000154', u'pilot.0000', u'AgentStagingInputPending', 76.14446806907654]
['unit.000158', u'pilot.0000', u'AgentStagingInputPending', 76.1447160243988]
['unit.000243', u'pilot.0000', u'AgentStagingInputPending', 76.14474606513977]
['unit.000003', u'pilot.0000', u'AgentStagingInputPending', 76.14477491378784]
['unit.000122', u'pilot.0000', u'AgentStagingInputPending', 76.14501786231995]
['unit.000059', u'pilot.0000', u'AgentStagingInputPending', 76.14510798454285]
['unit.000119', u'pilot.0000', u'AgentStagingInputPending', 76.14541101455688]
['unit.000000', u'pilot.0000', u'AgentStagingInputPending', 76.14544200897217]
['unit.000205', u'pilot.0000', u'AgentStagingInputPending', 76.14555096626282]
['unit.000206', u'pilot.0000', u'AgentStagingInputPending', 76.14559888839722]
['unit.000204', u'pilot.0000', u'AgentStagingInputPending', 76.14575099945068]
['unit.000174', u'pilot.0000', u'AgentStagingInputPending', 76.14596486091614]
['unit.000170', u'pilot.0000', u'AgentStagingInputPending', 76.14602088928223]
['unit.000222', u'pilot.0000', u'AgentStagingInputPending', 76.14608788490295]
['unit.000189', u'pilot.0000', u'AgentStagingInputPending', 76.1461250782013]
['unit.000181', u'pilot.0000', u'AgentStagingInputPending', 76.1461820602417]
['unit.000061', u'pilot.0000', u'AgentStagingInputPending', 76.14627504348755]
['unit.000060', u'pilot.0000', u'AgentStagingInputPending', 76.1463360786438]
['unit.000108', u'pilot.0000', u'AgentStagingInputPending', 76.14639401435852]
['unit.000245', u'pilot.0000', u'AgentStagingInputPending', 76.1465208530426]
['unit.000076', u'pilot.0000', u'AgentStagingInputPending', 76.14669394493103]
['unit.000077', u'pilot.0000', u'AgentStagingInputPending', 76.14672303199768]
['unit.000252', u'pilot.0000', u'Allocating', 290.41622400283813]
['unit.000018', u'pilot.0000', u'Allocating', 290.41626596450806]
['unit.000250', u'pilot.0000', u'Allocating', 290.416298866272]
['unit.000251', u'pilot.0000', u'Allocating', 290.41632986068726]
['unit.000254', u'pilot.0000', u'Allocating', 290.41636085510254]
['unit.000255', u'pilot.0000', u'Allocating', 290.4163908958435]
['unit.000010', u'pilot.0000', u'Allocating', 290.4164218902588]
['unit.000011', u'pilot.0000', u'Allocating', 290.41645097732544]
['unit.000012', u'pilot.0000', u'Allocating', 290.4164800643921]
['unit.000013', u'pilot.0000', u'Allocating', 290.41650891304016]
['unit.000014', u'pilot.0000', u'Allocating', 290.4165370464325]
['unit.000015', u'pilot.0000', u'Allocating', 290.41656494140625]
